구분,시설명,주소,전화번호,운영주체,기준일자,위도,경도,행정동
노인의료복지시설(노인요양시설),종암요양원,서울특별시 성북구 종암로9길 56(종암동),02-921-1009,개인,2019-02-27,37.5965778,127.0327749,종암동
노인의료복지시설(노인요양시설),백마요양원,서울특별시 성북구 종암로18길 14(종암동),02-943-6090,개인,2019-02-27,37.59885833,127.0354665,종암동
노인여가복지시설,성북노인종합복지관,서울특별시 성북구 종암로15길 10(종암동),02-929-7950,사회복지법인 진각복지재단,2019-02-27,37.59779187,127.0344106,종암동
재가노인복지시설(주야간보호),성북노인종합복지관 병설 주간보호센터,"서울특별시 성북구 종암로15길 10 (종암동, 성북노인종합복지관)",02-929-4956,사회복지법인 진각복지재단,2019-02-27,37.59779187,127.0344106,종암동
재가노인복지시설(주야간보호),명성노인복지센터,"서울특별시 성북구 정릉동 164-62, 2층",02-915-2336,개인,2019-02-27,37.6051736,127.0118866,정릉4동
노인의료복지시설(노인요양시설),정진요양원,서울특별시 성북구 서경로 110(정릉동),02-943-4272,개인,2019-02-27,37.61270211,127.0133692,정릉4동
노인의료복지시설(노인요양시설),정릉노인요양원,서울특별시 성북구 정릉로12길 69(정릉동),02-911-7782,개인,2019-02-27,37.60587334,127.0025413,정릉3동
노인주거복지시설,성북구립 정릉 노인의 집,서울특별시 성북구 솔샘로5가길 44,02-2241-2543,구립(성북구청),2019-02-27,37.61203609,127.00328,정릉3동
재가노인복지시설(주야간보호),솔샘데이케어센터,서울특별시 성북구 솔샘로17길 8 (정릉동),02-919-8424,사단법인 대한기독교자유연맹,2019-02-27,37.6127748,127.0057581,정릉3동
노인주거복지시설,성북구립 정릉동행 노인의 집,서울특별시 성북구 정릉로24가길 7-1,02-2241-2543,구립(성북구청),2019-02-27,37.60378275,127.0086067,정릉2동
노인여가복지시설,성북구립 정릉실버복지센터,서울특별시 성북구 솔샘로 8(정릉동),02-916-0204,사회복지법인 일광복지재단,2019-02-27,37.60824107,127.004657,정릉2동
재가노인복지시설(주야간보호),정릉데이케어센터,서울특별시 성북구 솔샘로 8 (정릉동),02-916-0204,사회복지법인 일광복지재단,2019-02-27,37.60824107,127.004657,정릉2동
노인의료복지시설(노인요양시설),청화요양원,서울특별시 성북구 서경로 67(정릉동),02-942-2255,개인,2019-02-27,37.60948715,127.0152396,정릉2동
노인의료복지시설(노인요양공동생활가정),명성노인복지센터,서울특별시 성북구 보국문로4길 8(정릉동),02-915-2335,개인,2019-02-27,37.60523125,127.0119862,정릉2동
재가노인복지시설(주야간보호),성북미르사랑데이케어센터,"서울특별시 성북구 보국문로 10 (정릉동, 부광빌딩 5층)",02-919-9909,사단법인 한국치매협회,2019-02-27,37.60553762,127.0116556,정릉2동
"재가노인복지시설(방문요양,방문목욕)",연세노인복지센터,서울특별시 성북구 북악산로813,02-846-5571,개인,2019-02-27,37.60114042,127.0149435,정릉1동
재가노인복지시설(주야간보호),장위행복데이케어센터,"서울특별시 성북구 화랑로19길 67, 1층(장위동, 우송빌딩)",02-915-3916,개인,2019-02-27,37.60948447,127.0506613,장위2동
노인여가복지시설,성북구립 장위실버복지센터,서울특별시 성북구 장위로46길 57(장위동),02-913-3369,사회복지법인 진각복지재단,2019-02-27,37.6128337,127.0560729,장위2동
노인의료복지시설(노인요양공동생활가정),유민복지센터,서울특별시 성북구 장위로26길 20(장위동),02-763-3962,개인,2019-02-27,37.61294637,127.0455035,장위1동
노인주거복지시설,성북구립 장위 노인의 집,"서울특별시 성북구 월계로32길 15, 3층",02-2241-2543,구립(성북구청),2019-02-27,37.61889318,127.0447414,장위1동
노인여가복지시설,성북구립 상월곡실버복지센터,서울특별시 성북구 화랑로18길 6(상월곡동),02-963-1082,사회복지법인 일광복지재단,2019-02-27,37.60585269,127.0482353,월곡2동
노인의료복지시설(노인요양시설),진각노인요양센터,서울특별시 성북구 화랑로13길 17(하월곡동),02-942-0194,사회복지법인 진각복지재단,2019-02-27,37.60507324,127.0413674,월곡2동
치매지원센터,성북구 치매지원센터,서울특별시 성북구 화랑로 63 성북구보건소 5층,02-918-2223,건국대학교병원,2019-02-27,37.60270967,127.0395315,월곡2동
노인의료복지시설(노인요양공동생활가정),늘푸른요양원3호점,서울특별시 성북구 장월로1길 60(상월곡동),02-915-2556,개인,2019-02-27,37.60604142,127.0448832,월곡2동
노인의료복지시설(노인요양시설),한솔요양원,서울특별시 성북구 오패산로10길 30,02-911-7879,개인,2019-02-27,37.60512469,127.0384366,월곡2동
"재가노인복지시설(방문요양,방문목욕)",진각홈케어 성북센터,서울특별시 성북구 화랑로21(월곡1동),02-913-3525,사회복지법인 진각복지재단,2019-02-27,37.60314725,127.0347664,월곡1동
재가노인복지시설(재가노인지원),진각재가노인지원센터,서울특별시 성북구 화랑로 21,02-911-1086,사회복지법인 진각복지재단,2019-02-27,37.60314725,127.0347664,월곡1동
재가노인복지시설(주야간보호),동행데이케어센터,"서울특별시 성북구 오패산로1길 1, 2층 (하월곡동, 동진빌딩)",02-921-8639,개인,2019-02-27,37.60346738,127.0368231,월곡1동
노인의료복지시설(노인요양시설),부모섬김노인요양원,"서울특별시 성북구 오패산로 98, 로만프라자3층",02-941-8890,개인,2019-02-27,37.61084865,127.0356489,월곡1동
노인의료복지시설(노인요양시설),둥지요양원,"서울특별시 성북구 오패산로 49, 2층 1호(하월곡동)",02-943-1235,개인,2019-02-27,37.60639752,127.036435,월곡1동
노인일자리전담기관,성북시니어클럽,서울특별시 성북구 안암로 79,02-2135-9968,사회복지법인 계영복지재단,2019-02-27,37.58342051,127.0297304,안암동
노인의료복지시설(노인요양시설),보문요양원,서울특별시 성북구 고려대로7길 32,02-960-1123,개인,2019-02-27,37.58738681,127.0207241,안암동
노인주거복지시설,성북구립 안암 노인의 집,서울특별시 성북구 고려대로10길 37,02-2241-2543,구립(성북구청),2019-02-27,37.58446372,127.0221996,안암동
재가노인복지시설(주야간보호),덕수노인복지센터,서울특별시 성북구 성북로28길 14 (성북동),02-762-4262,대한예수교장로회 한국장로교복지재단,2019-02-27,37.59534242,126.9938491,성북동
재가노인복지시설(주야간보호),동소문데이케어센터,서울특별시 성북구 동소문로11길 18,02-926-7273,개인,2019-02-27,37.5919831,127.011812,성북동
노인여가복지시설,성북구립 석관실버복지센터,서울특별시 성북구 화랑로 32길 88(석관동),02-957-9923,사회복지법인 진각복지재단,2019-02-27,37.60670952,127.0582472,석관동
재가노인복지시설(주야간보호),석관데이케어센터,"서울특별시 성북구 화랑로 278,6층 (석관동)",02-963-9993,개인,2019-02-27,37.61198498,127.0597283,석관동
재가노인복지시설(주야간보호),바른데이케어센터,서울특별시 성북구 보문로40길 11 솔하임 4층(삼선동),02-928-8890,개인,2019-02-27,37.59186032,127.0140267,삼선동
노인의료복지시설(노인요양시설),일광노인요양센터,서울특별시 성북구 보문로31길 70(삼선동3가),02-742-0755,사회복지법인 일광복지재단,2019-02-27,37.58694096,127.0134869,삼선동
재가노인복지시설(주야간보호),삼선데이케어센터,"서울특별시 성북구 동소문로 40, 6층 (동소문동3가)",02-6437-7272,개인,2019-02-27,37.59006952,127.0104666,삼선동
노인의료복지시설(노인요양시설),케어윌,서울특별시 성북구 보문로 50(보문동7가),02-927-6060,성보중건㈜,2019-02-27,37.57992262,127.0226738,보문동
노인의료복지시설(노인요양공동생활가정),우리엄마요양원,"서울특별시 성북구 보문로 123(보문동2가, 3층)",02-921-3002,개인,2019-02-27,37.5859924,127.018731,보문동
노인의료복지시설(노인요양시설),성신노인요양원,서울특별시 성북구 동소문로13나길 110(동소문동7가),02-929-8538,개인,2019-02-27,37.59618496,127.0150286,동선동
노인의료복지시설(노인요양시설),다애요양원,"서울특별시 성북구 성북로4길 52, 한진스포츠센터3층",02-921-3131,개인,2019-02-27,37.59507886,127.0122836,돈암2동
재가노인복지시설(주야간보호),성북희망데이케어센터,서울특별시 성북구 동소문로 190,02-922-9955,개인,2019-02-27,37.59889042,127.0220907,돈암1동
재가노인복지시설(주야간보호),길음노인복지센터,서울특별시 성북구 삼양로8가길 32 (길음동),02-989-0161,인덕원,2019-02-27,37.6088152,127.02478,길음2동
노인의료복지시설(노인요양시설),길음안나의집,서울특별시 성북구 길음로9길 46(길음동),02-940-3500,성가소비녀회,2019-02-27,37.60543953,127.0178752,길음1동
재가노인복지시설(주야간보호),길음안나데이케어센터,서울특별시 성북구 길음로9길 46 (길음동),02-940-3510,재단법인 천주교성가회유지재단,2019-02-27,37.60543953,127.0178752,길음1동
노인의료복지시설(노인요양시설),더헤븐즈메디컬홈케어방문센터,경기도 광명시 하안동 양정빌딩 503호,02-911-1086,개인,2019-02-28,37.4624572,126.8809323,동선동
노인의료복지시설(노인요양시설),천사방문노인복지센터,경기도 광명시 광명동 781번지 104 104동 2403호,02-921-8639,개인,2019-03-01,37.4762402,126.8482379,돈암0동
노인여가복지시설,한가족방문요양 노인복지센터,경기도 광명시 하안동 35-7번지 304호,02-941-8890,개인,2019-03-02,37.460491,126.8790366,돈암1동
재가노인복지시설(주야간보호),샬롬노인재가센터,경기도 광명시 소하동 157-4번지,02-943-1235,개인,2019-03-03,37.4487713,126.8812031,길음2동
재가노인복지시설(주야간보호),행복나눔노인주간보호센터,경기도 광명시 소하동,02-2135-9968,개인,2019-03-04,37.4373602,126.8769731,길음1동
노인의료복지시설(노인요양시설),(주)삼성재가노인복지센터,경기도 광명시 철산동 푸르지오하늘채종합상가 B133,02-960-1123,개인,2019-03-05,37.4837385,126.8643905,길음1동
노인의료복지시설(노인요양시설),천사 노인복지센터,경기도 광명시 광명동 현대타운 01호,02-2241-2543,개인,2019-03-06,37.472874,126.8509353,동선동
노인주거복지시설,철산노인주간보호센터,경기도 광명시 철산동 158번지,02-762-4262,개인,2019-03-07,37.48301,126.8654885,돈암2동
재가노인복지시설(주야간보호),광명가정봉사원 교육원,경기도 광명시 하안동 683번지,02-926-7273,개인,2019-03-08,37.4663777,126.8736011,돈암3동
재가노인복지시설(주야간보호),광명사랑재가노인지원서비스센터,경기도 광명시 광명동,02-915-2335,개인,2019-03-09,37.4826302,126.8568626,길음2동
노인의료복지시설(노인요양시설),광명YWCA부설 재가복지봉사센타,경기도 광명시 광명동 158-487번지,02-919-9909,개인,2019-03-10,37.4783507,126.8570405,길음1동
노인의료복지시설(노인요양공동생활가정),광명노인복지센터,경기도 광명시 하안동 683번지,02-846-5571,개인,2019-03-11,37.4663777,126.8736011,길음1동
재가노인복지시설(주야간보호),광명시보건소주간보호센터,경기도 광명시 하안동 230번지,02-915-3916,개인,2019-03-12,37.4557691,126.8783776,동선동
"재가노인복지시설(방문요양,방문목욕)",광명방문요양지원센터「좋은사람들」,경기도 광명시 하안동 태홍빌딩 B동,02-913-3369,개인,2019-03-13,37.4615464,126.8801539,돈암4동
재가노인복지시설(주야간보호),하안노인주간보호센터,경기도 광명시 하안동,02-918-2223,개인,2019-03-14,37.4547083,126.8642971,돈암5동
노인의료복지시설(노인요양공동생활가정),광명노인복지센터,경기도 광명시 소하동,02-915-2556,개인,2019-03-15,37.4373602,126.8769731,길음2동
노인의료복지시설(노인요양시설),방문요양센터 심청,경기도 광명시 하안동 305-3번지,02-911-7879,개인,2019-03-16,37.4590203,126.8770159,길음1동
재가노인복지시설(주야간보호),소하노인주간보호센터,경기도 광명시 소하동,02-913-3525,개인,2019-03-17,37.4373602,126.8769731,길음1동
노인의료복지시설(노인요양시설),남부실버요양원,서울특별시 금천구 독산동 1006-77,02-2804-1957,개인,2019-03-18,37.4649253,126.8944211,동선동
노인의료복지시설(노인요양시설),정성요양병원,서울특별시 금천구 독산동,02-3281-8636,개인,2019-03-19,37.462742,126.8994411,돈암6동
노인의료복지시설(노인요양시설),실버밸리요양원 ,서울특별시 금천구 가산동 150-2,02-866-6690,개인,2019-03-20,37.4752532,126.8889999,동선동
